casing sunlight 7cm 2024/5/1 15:1:10, 33, lux: 1237.71
casing sunlight 7cm 2024/5/1 15:1:15, 33, lux: 1106.17
casing sunlight 7cm 2024/5/1 15:1:20, 33, lux: 410.938
casing sunlight 7cm 2024/5/1 15:2:8, 34, lux: 447.495
casing sunlight 7cm 2024/5/1 15:2:14, 34, lux: 1527.55
casing sunlight 7cm 2024/5/1 15:2:19, 34, lux: 1536.04
with casing with diesal100ml sunlight 7cm 2024/5/1 15:22:37, 39, lux: 2303.73
with casing with diesal100ml sunlight 7cm 2024/5/1 15:22:42, 39, lux: 1897.2
with casing with diesal100ml sunlight 7cm 2024/5/1 15:22:47, 39, lux: 2318.09
with casing with diesal100ml sunlight 7cm 2024/5/1 15:22:52, 39, lux: 2330.33
with casing with diesal100ml sunlight 7cm 2024/5/1 15:22:57, 39, lux: 2293.78
with casing with diesal100ml sunlight 7cm 2024/5/1 15:23:43, 40, lux: 2248.24
with casing with diesal100ml sunlight 7cm 2024/5/1 15:23:49, 40, lux: 2210.87
with casing with diesal100ml sunlight 7cm 2024/5/1 15:23:54, 40, lux: 2027.6
with casing with diesal100ml sunlight 7cm 2024/5/1 15:23:59, 40, lux: 2091.74
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:4, 40, lux: 2065.95
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:36, 41, lux: 2164.36
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:41, 41, lux: 2257.06
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:46, 41, lux: 2505.45
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:51, 41, lux: 2304.06
with casing with diesal100ml sunlight 7cm 2024/5/1 15:24:56, 41, lux: 2112.3
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:25:37, 42, lux: 1955.63
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:25:42, 42, lux: 1964.6
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:25:47, 42, lux: 2044.57
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:25:52, 42, lux: 2125.35
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:25:57, 42, lux: 2219.36
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:26:21, 43, lux: 2280.56
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:26:26, 43, lux: 1950.89
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:26:31, 43, lux: 2088.8
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:26:36, 43, lux: 2079.82
with casing with diesal100ml sunlight 7cm noLED 2024/5/1 15:26:41, 43, lux: 1388.02
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:27:37, 44, lux: 802.128
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:27:42, 44, lux: 813.552
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:27:47, 44, lux: 815.021
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:27:52, 44, lux: 784.666
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:27:57, 44, lux: 766.877
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:28:6, 45, lux: 391.68
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:28:11, 45, lux: 387.6
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:28:16, 45, lux: 394.291
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:28:21, 45, lux: 403.92
with casing with diesal100ml sunlight 7cm shade 2024/5/1 15:28:26, 45, lux: 387.6
